# Source1     : pressureDifferencePatch.region1
# Source2     : pressureDifferencePatch.region2
# Operation   : subtract
# Time        	p
0.01          	5.150105e-02
0.02          	2.635750e-04
0.03          	5.829416e-04
0.04          	4.769751e-04
0.05          	4.119295e-04
0.06          	3.673319e-04
0.07          	3.349774e-04
0.08          	3.103421e-04
0.09          	2.908349e-04
0.1           	2.749016e-04
0.11          	2.615649e-04
0.12          	2.501825e-04
0.13          	2.403153e-04
0.14          	2.316518e-04
0.15          	2.239640e-04
0.16          	2.170811e-04
0.17          	2.108716e-04
0.18          	2.052325e-04
0.19          	2.000818e-04
0.2           	1.953533e-04
0.21          	1.909927e-04
0.22          	1.869551e-04
0.23          	1.832028e-04
0.24          	1.797044e-04
0.25          	1.764324e-04
0.26          	1.733643e-04
0.27          	1.704795e-04
0.28          	1.677613e-04
0.29          	1.651937e-04
0.3           	1.627645e-04
0.31          	1.604613e-04
0.32          	1.582739e-04
0.33          	1.561846e-04
0.34          	1.542032e-04
0.35          	1.523129e-04
0.36          	1.505066e-04
0.37          	1.487785e-04
0.38          	1.471234e-04
0.39          	1.455371e-04
0.4           	1.440141e-04
0.41          	1.425504e-04
0.42          	1.411431e-04
0.43          	1.397884e-04
0.44          	1.384830e-04
0.45          	1.372242e-04
0.46          	1.360094e-04
0.47          	1.348363e-04
0.48          	1.337024e-04
0.49          	1.326060e-04
0.5           	1.315448e-04
0.51          	1.305172e-04
0.52          	1.295214e-04
0.53          	1.285560e-04
0.54          	1.276194e-04
0.55          	1.267104e-04
0.56          	1.258276e-04
0.57          	1.249699e-04
0.58          	1.241361e-04
0.59          	1.233254e-04
0.6           	1.225364e-04
0.61          	1.217684e-04
0.62          	1.210205e-04
0.63          	1.202921e-04
0.64          	1.195821e-04
0.65          	1.188895e-04
0.66          	1.182148e-04
0.67          	1.175562e-04
0.68          	1.169134e-04
0.69          	1.162859e-04
0.7           	1.156730e-04
0.71          	1.150737e-04
0.72          	1.144890e-04
0.73          	1.139170e-04
0.74          	1.133577e-04
0.75          	1.128107e-04
0.76          	1.122755e-04
0.77          	1.117518e-04
0.78          	1.112392e-04
0.79          	1.107371e-04
0.8           	1.102458e-04
0.81          	1.097642e-04
0.82          	1.092924e-04
0.83          	1.088302e-04
0.84          	1.083769e-04
0.85          	1.079321e-04
0.86          	1.074967e-04
0.87          	1.070694e-04
0.88          	1.066501e-04
0.89          	1.062387e-04
0.9           	1.058348e-04
0.91          	1.054385e-04
0.92          	1.050491e-04
0.93          	1.046673e-04
0.94          	1.042920e-04
0.95          	1.039233e-04
0.96          	1.035611e-04
0.97          	1.032051e-04
0.98          	1.028556e-04
0.99          	1.025117e-04
1             	1.021737e-04
1.01          	1.018415e-04
1.02          	1.015147e-04
1.03          	1.011931e-04
1.04          	1.008773e-04
1.05          	1.005654e-04
1.06          	1.002602e-04
1.07          	9.995908e-05
1.08          	9.966274e-05
1.09          	9.937112e-05
1.1           	9.908384e-05
1.11          	9.880119e-05
1.12          	9.852283e-05
1.13          	9.824870e-05
1.14          	9.797872e-05
1.15          	9.771278e-05
1.16          	9.745078e-05
1.17          	9.719270e-05
1.18          	9.693821e-05
1.19          	9.668782e-05
1.2           	9.644082e-05
1.21          	9.619740e-05
1.22          	9.595744e-05
1.23          	9.572090e-05
1.24          	9.548764e-05
1.25          	9.525779e-05
1.26          	9.503101e-05
1.27          	9.480716e-05
1.28          	9.458688e-05
1.29          	9.436925e-05
1.3           	9.415463e-05
1.31          	9.394293e-05
1.32          	9.373404e-05
1.33          	9.352794e-05
1.34          	9.332455e-05
1.35          	9.312385e-05
1.36          	9.292582e-05
1.37          	9.273025e-05
1.38          	9.253712e-05
1.39          	9.234672e-05
1.4           	9.215864e-05
1.41          	9.197295e-05
1.42          	9.178959e-05
1.43          	9.160852e-05
1.44          	9.142975e-05
1.45          	9.125306e-05
1.46          	9.107885e-05
1.47          	9.090658e-05
1.48          	9.073641e-05
1.49          	9.056833e-05
1.5           	9.040215e-05
1.51          	9.023818e-05
1.52          	9.007608e-05
1.53          	8.991592e-05
1.54          	8.975765e-05
1.55          	8.960124e-05
1.56          	8.944666e-05
1.57          	8.929390e-05
1.58          	8.914291e-05
1.59          	8.899366e-05
1.6           	8.884499e-05
1.61          	8.870031e-05
1.62          	8.855567e-05
1.63          	8.841357e-05
1.64          	8.827264e-05
1.65          	8.813338e-05
1.66          	8.799545e-05
1.67          	8.785923e-05
1.68          	8.772448e-05
1.69          	8.759121e-05
1.7           	8.745941e-05
1.71          	8.732916e-05
1.72          	8.720004e-05
1.73          	8.707259e-05
1.74          	8.694653e-05
1.75          	8.682155e-05
1.76          	8.669762e-05
1.77          	8.657643e-05
1.78          	8.645524e-05
1.79          	8.633517e-05
1.8           	8.621758e-05
1.81          	8.609963e-05
1.82          	8.598485e-05
1.83          	8.586899e-05
1.84          	8.575690e-05
1.85          	8.564403e-05
1.86          	8.553293e-05
1.87          	8.542290e-05
1.88          	8.531414e-05
1.89          	8.520636e-05
1.9           	8.509971e-05
1.91          	8.499414e-05
1.92          	8.488963e-05
1.93          	8.478616e-05
1.94          	8.468376e-05
1.95          	8.458234e-05
1.96          	8.448194e-05
1.97          	8.438276e-05
1.98          	8.428399e-05
1.99          	8.418686e-05
2             	8.409012e-05
2.01          	8.399438e-05
2.02          	8.389987e-05
2.03          	8.380536e-05
2.04          	8.371375e-05
2.05          	8.362154e-05
2.06          	8.353014e-05
2.07          	8.344023e-05
2.08          	8.335097e-05
2.09          	8.326238e-05
2.1           	8.317527e-05
2.11          	8.308705e-05
2.12          	8.300305e-05
2.13          	8.291594e-05
2.14          	8.283358e-05
2.15          	8.274824e-05
2.16          	8.266703e-05
2.17          	8.258379e-05
2.18          	8.250345e-05
2.19          	8.242243e-05
2.2           	8.234295e-05
2.21          	8.226364e-05
2.22          	8.218539e-05
2.23          	8.210794e-05
2.24          	8.203015e-05
2.25          	8.195513e-05
2.26          	8.187934e-05
2.27          	8.180425e-05
2.28          	8.173012e-05
2.29          	8.165654e-05
2.3           	8.158383e-05
2.31          	8.151138e-05
2.32          	8.143989e-05
2.33          	8.136862e-05
2.34          	8.129821e-05
2.35          	8.122978e-05
2.36          	8.116008e-05
2.37          	8.109148e-05
2.38          	8.102420e-05
2.39          	8.095620e-05
2.4           	8.088993e-05
2.41          	8.082396e-05
2.42          	8.075841e-05
2.43          	8.068812e-05
2.44          	8.062740e-05
2.45          	8.056578e-05
2.46          	8.050340e-05
2.47          	8.043931e-05
2.48          	8.037683e-05
2.49          	8.031531e-05
2.5           	8.025409e-05
2.51          	8.019361e-05
2.52          	8.013205e-05
2.53          	8.007364e-05
2.54          	8.001474e-05
2.55          	7.995549e-05
2.56          	7.989761e-05
2.57          	7.984013e-05
2.58          	7.978290e-05
2.59          	7.972623e-05
2.6           	7.966628e-05
2.61          	7.961173e-05
2.62          	7.955831e-05
2.63          	7.950211e-05
2.64          	7.944952e-05
2.65          	7.939394e-05
2.66          	7.934237e-05
2.67          	7.928839e-05
2.68          	7.923547e-05
2.69          	7.918455e-05
2.7           	7.913059e-05
2.71          	7.908187e-05
2.72          	7.902973e-05
2.73          	7.897899e-05
2.74          	7.893054e-05
2.75          	7.887786e-05
2.76          	7.883212e-05
